name,year,rating,votes,Action,Adventure,Comedy,Crime,Family,Fantasy,Mystery,Sci-Fi,Thriller,Cluster,time_period
The Prisoner,1980,3.8,13.0,False,True,False,False,False,False,False,True,True,5,1970
Agent A: A Puzzle in Disguise,2015,8.3,11.0,False,False,True,False,True,False,False,False,True,5,2010
As Dusk Falls,2022,8.4,254.0,False,False,False,True,False,False,False,False,True,5,
Manhunt,2003,8.2,2331.0,False,False,False,True,False,False,False,False,True,5,2000
Police Quest: Open Season,1993,7.1,73.0,False,False,False,True,False,False,True,False,True,5,1990
Welcome to the Game II,2018,7.3,26.0,False,False,False,True,False,False,False,False,True,5,2010
Scrutinized,2020,7.0,8.0,False,False,False,True,False,False,False,False,True,5,2010
Heavy Rain: Chronicle One - The Taxidermist,2010,7.8,209.0,False,False,False,True,False,False,True,False,True,5,2000
Police Quest: SWAT,1995,7.0,14.0,False,False,False,True,False,False,False,False,True,5,1990
Party Hard 2,2018,7.6,7.0,False,False,False,True,False,False,False,False,True,5,2010
Police Quest III: The Kindred,1991,7.5,70.0,False,False,False,True,False,False,True,False,True,5,1990
Party Hard,2015,7.5,82.0,False,False,False,True,False,False,False,False,True,5,2010
Lucius II,2015,5.0,17.0,False,False,False,True,False,False,False,False,True,5,2010
J.B. Harold: Blue Chicago Blues,1994,8.2,39.0,False,False,False,True,False,False,True,False,True,5,1990
Until Dawn,2015,8.8,14522.0,False,False,False,False,False,False,True,False,True,5,2010
The Dark Pictures: Little Hope,2020,7.1,1592.0,False,False,False,False,False,False,True,False,True,5,2010
Firewatch,2016,8.2,3782.0,False,False,False,False,False,False,True,False,True,5,2010
Blade Runner,1997,8.9,1918.0,False,False,False,False,False,False,True,True,True,5,1990
The Medium,2021,7.2,613.0,False,False,False,False,False,False,True,False,True,5,
Silent Hill: Homecoming,2008,7.0,1752.0,False,False,False,False,False,False,True,False,True,5,2000
Blair Witch,2019,6.6,645.0,False,False,False,False,False,False,True,False,True,5,2010
The Shapeshifting Detective,2018,7.1,110.0,False,False,False,False,False,False,True,True,True,5,2010
Black Mirror,2017,5.7,204.0,False,False,False,False,False,False,True,False,True,5,2010
Siren,2003,7.6,231.0,False,False,False,False,False,False,True,False,True,5,2000
Twin Mirror,2020,6.1,169.0,False,False,False,False,False,False,True,False,True,5,2010
I Saw Black Clouds,2021,5.7,43.0,False,False,False,False,False,False,True,False,True,5,
Haunting Ground,2005,8.1,306.0,False,False,False,False,False,False,True,False,True,5,2000
Neuromancer,1988,8.3,79.0,False,False,False,False,False,False,True,True,True,5,1980
Maid of Sker,2020,6.3,65.0,False,False,False,False,False,False,True,False,True,5,2010
Amnesia: Rebirth,2020,6.8,223.0,False,False,False,False,False,False,True,False,True,5,2010
Forbidden Siren 2,2006,7.5,128.0,False,False,False,False,False,False,True,False,True,5,2000
Virginia,2016,6.5,120.0,False,False,False,False,False,False,True,False,True,5,2010
Project Nightmares,2021,5.3,7.0,False,False,False,False,False,False,True,False,True,5,
428: Fûsa sareta Shibuya de,2008,8.5,48.0,False,False,False,False,False,False,True,False,True,5,2000
Siren: Blood Curse,2008,7.1,129.0,False,False,False,False,False,False,True,False,True,5,2000
The Black Mirror,2004,7.9,291.0,False,False,False,False,False,False,True,False,True,5,2000
D4: Dark Dreams Don't Die,2014,7.3,99.0,False,False,False,False,False,False,True,True,True,5,2010
Gray Matter,2010,8.3,136.0,False,False,False,False,False,False,True,False,True,5,2000
State of Mind,2018,6.8,59.0,False,False,False,False,False,False,True,True,True,5,2010
Black Mirror III: Final Fear,2011,7.4,132.0,False,False,False,False,False,False,True,False,True,5,2010
Darkwood,2017,7.7,77.0,False,False,False,False,False,False,True,False,True,5,2010
Black Mirror II: Reigning Evil,2010,7.7,167.0,False,False,False,False,False,False,True,False,True,5,2000
Resident Evil 7 Teaser: Beginning Hour,2016,7.8,128.0,False,False,False,False,False,False,True,False,True,5,2010
Bear with Me: The Lost Robots,2019,7.2,9.0,False,False,False,False,False,False,True,False,True,5,2010
Yesterday Origins,2016,6.4,21.0,False,False,False,False,False,False,True,False,True,5,2010
The Lighthouse Map,2020,8.8,9.0,False,False,False,False,False,False,True,False,True,5,2010
Penumbra: Black Plague,2008,8.1,315.0,False,False,False,False,False,False,True,False,True,5,2000
Amnesia: Justine,2011,6.3,13.0,False,False,False,False,False,False,True,False,True,5,2010
Yesterday,2012,7.1,18.0,False,False,False,False,False,False,True,False,True,5,2010
Dollhouse,2019,4.2,7.0,False,False,False,False,False,False,True,False,True,5,2010
White Night,2015,7.2,26.0,False,False,False,False,False,False,True,False,True,5,2010
Overclocked: A History of Violence,2007,8.7,73.0,False,False,False,False,False,False,True,False,True,5,2000
Penumbra: Overture,2007,7.9,314.0,False,False,False,False,False,False,True,False,True,5,2000
Cryostasis: Sleep of Reason,2009,7.6,73.0,False,False,False,False,False,False,True,False,True,5,2000
Penumbra: Requiem,2008,6.5,152.0,False,False,False,False,False,False,True,False,True,5,2000
Penumbra: Necrologue,2015,7.4,15.0,False,False,False,False,False,False,True,False,True,5,2010
Mystery House,1980,5.7,8.0,False,False,False,False,False,False,True,False,True,5,1970
Sonnyy ad,2014,7.8,39.0,False,False,False,False,False,False,True,False,True,5,2010
Hitchcock: The Final Cut,2002,6.5,14.0,False,False,False,False,False,False,True,False,True,5,2000
Alien: Isolation,2014,8.7,5402.0,False,False,False,False,False,False,False,True,True,5,2010
Five Nights at Freddy's,2014,7.2,2249.0,False,False,False,False,False,False,False,True,True,5,2010
The Complex,2020,6.6,309.0,False,False,False,False,False,False,False,True,True,5,2010
Five Nights at Freddy's 4: The Final Chapter,2015,6.8,937.0,False,False,False,False,False,False,False,True,True,5,2010
Five Nights at Freddy's 2,2014,7.1,1372.0,False,False,False,False,False,False,False,True,True,5,2010
Five Nights at Freddy's: Help Wanted,2019,8.0,379.0,False,False,False,False,False,False,False,True,True,5,2010
Five Nights at Freddy's: Sister Location,2016,7.3,817.0,False,False,False,False,False,False,False,True,True,5,2010
Five Nights at Freddy's 3,2015,6.4,1157.0,False,False,False,False,False,False,False,True,True,5,2010
We Happy Few,2018,6.8,399.0,False,False,False,False,False,False,False,True,True,5,2010
Ultimate Custom Night,2018,7.4,409.0,False,False,False,False,False,False,False,True,True,5,2010
"I Have No Mouth, and I Must Scream",1995,8.3,254.0,False,False,False,False,False,False,False,True,True,5,1990
Freddy Fazbear's Pizzeria Simulator,2017,7.0,451.0,False,False,False,False,False,False,False,True,True,5,2010
Five Nights at Freddy's: Special Delivery,2019,5.7,123.0,False,False,False,False,False,False,False,True,True,5,2010
Alien: Blackout,2019,7.1,38.0,False,False,False,False,False,False,False,True,True,5,2010
Resident Evil VII: Biohazard - Banned Footage Vol. 1,2017,7.2,91.0,False,False,False,False,False,False,False,True,True,5,2010
Paratopic,2018,6.4,17.0,False,False,False,False,False,False,False,True,True,5,2010
Resident Evil VII: Biohazard - Banned Footage Vol. 2,2017,7.2,96.0,False,False,False,False,False,False,False,True,True,5,2010
Event 0,2016,7.4,20.0,False,True,False,False,False,False,False,True,True,5,2010
X-COM: Apocalypse,1997,7.2,5.0,True,False,False,False,False,False,False,True,True,5,1990
Telling Lies,2019,6.6,267.0,False,False,False,False,False,False,False,False,True,5,2010
Friday the 13th: The Game,2017,7.4,1476.0,False,False,False,False,False,False,False,False,True,5,2010
The Walking Dead: Season Two,2013,8.7,7130.0,False,False,False,False,False,False,False,False,True,5,2010
The Walking Dead: A New Frontier,2016,7.7,3435.0,False,False,False,False,False,False,False,False,True,5,2010
The Walking Dead: The Telltale Definitive Series,2019,9.1,485.0,False,False,False,False,False,False,False,False,True,5,2010
Stranger Things VR,2017,6.7,115.0,False,False,False,False,False,False,False,False,True,5,2010
She Sees Red - Interactive Movie,2019,6.2,111.0,False,False,False,False,False,False,False,False,True,5,2010
The Walking Dead: Michonne,2016,7.1,1811.0,False,False,False,False,False,False,False,False,True,5,2010
"Papers, Please",2013,8.1,1357.0,False,False,False,False,False,False,False,False,True,5,2010
The Walking Dead: Saints & Sinners,2020,8.1,103.0,False,False,False,False,False,False,False,False,True,5,2010
The Walking Dead: 400 Days,2013,7.5,3025.0,False,False,False,False,False,False,False,False,True,5,2010
Deus ex Machina 2,2015,4.5,23.0,False,False,False,False,False,False,False,False,True,5,2010
Simulacra,2017,7.3,63.0,False,False,False,False,False,False,False,False,True,5,2010
The Infectious Madness of Doctor Dekker,2017,7.7,74.0,False,False,False,False,False,False,False,False,True,5,2010
Night Book,2021,6.4,41.0,False,False,False,False,False,False,False,False,True,5,
Get Even,2017,6.1,139.0,False,False,False,False,False,False,False,False,True,5,2010
Layers of Fear 2,2019,6.5,225.0,False,False,False,False,False,False,False,False,True,5,2010
This War of Mine,2014,7.7,733.0,False,False,False,False,False,False,False,False,True,5,2010
The Haunted Mansion,2003,6.8,52.0,False,False,False,False,False,False,False,False,True,5,2000
Pacify,2019,5.8,38.0,False,False,False,False,False,False,False,False,True,5,2010
Infex,2012,5.4,11.0,False,False,False,False,False,False,False,False,True,5,2010
Five Nights at Pinkie's 4,2015,7.1,9.0,False,False,False,False,False,False,False,False,True,5,2010
Death March Club,2020,7.3,10.0,False,False,False,False,False,False,False,False,True,5,2010
Vindictive Drive,2017,8.4,9.0,True,False,False,False,False,False,False,False,True,5,2010
The 13th Doll,2018,8.6,7.0,False,False,False,False,False,False,False,False,True,5,2010
Fears to Fathom: Home Alone,2021,7.2,9.0,False,False,False,False,False,False,False,False,True,5,
Infestation: Survivor Stories,2012,3.3,52.0,False,False,False,False,False,False,False,False,True,5,2010
The Occupation,2019,6.9,8.0,False,False,False,False,False,False,False,False,True,5,2010
Phantom Doctrine,2018,7.3,13.0,False,False,False,False,False,False,False,False,True,5,2010
Q.U.B.E: Director's Cut,2014,7.1,81.0,False,False,False,False,False,False,False,False,True,5,2010
Jaws,1987,5.3,164.0,False,False,False,False,False,False,False,False,True,5,1980
Do you copy?,2017,7.9,17.0,False,False,False,False,False,False,False,False,True,5,2010
A Night in Berlin,2020,5.4,6.0,True,False,False,False,False,False,False,False,True,5,2010
Road to Hell,2013,6.0,30.0,False,False,False,False,False,False,False,False,True,5,2010
Revenge,2012,5.1,25.0,False,False,False,False,False,False,False,False,True,5,2010
